wavelength,mean_reflectance,median_reflectance,std_reflectance,p25_reflectance,p75_reflectance,n_valid
2038,0.4888134553066839,0.5021246510992118,0.1438658896392859,0.39780241149671736,0.5684749133006727,22
2039,0.48638479156881276,0.49785437433783436,0.14359307081396558,0.3964667510326774,0.565328543247188,22
2040,0.48398290649414566,0.4934435125092912,0.1433943724915085,0.39486077172720535,0.562114866881477,22
2041,0.48159895258576724,0.4889701749553713,0.1432413651865525,0.39248132113947154,0.558829620408507,22
2042,0.47925465729424827,0.4847067207168856,0.14311801824239867,0.3903714644757661,0.5552680953903325,22
2043,0.4771123603364256,0.48051151016974525,0.1432740160656949,0.38835698786924894,0.55159731065163,22
2044,0.47500250213055256,0.4766573736326173,0.14345838954634732,0.38617937589844087,0.5479349427801143,22
2045,0.47292131805508786,0.4729082464506001,0.14362284007830436,0.38425931396090107,0.5442808415294488,22
2046,0.47088971833894033,0.4692575232841267,0.1437253833268255,0.38242848687724906,0.5405615266110033,22
2047,0.46888027470058,0.46557422111842045,0.14376248675542266,0.38056953136834376,0.5370008453001233,22
2048,0.4668339461303371,0.46187097547831724,0.14370430919668578,0.37874813097100707,0.533498226913637,22
2049,0.46480323382838973,0.4582799229285946,0.14362947288731243,0.37657598648661045,0.5304634530811971,22
2050,0.4627846463653757,0.45462305149864823,0.1433291759915256,0.3746831323824642,0.5276057664172793,22
2051,0.460810134783145,0.45103734632152104,0.1430495606622531,0.3728087005149605,0.5247667800970396,22
2052,0.45883910231498215,0.44735927811171033,0.1426869018880869,0.3709570630087589,0.5219330854314153,22
2053,0.456908852826773,0.4436994439666526,0.14227064766657058,0.36915610458643316,0.5191405526753091,22
2054,0.4549506938609712,0.4400466955313599,0.14172780173242336,0.36735128189309746,0.5163920627409927,22
2055,0.45310161456934134,0.43676684381441877,0.1411786117518931,0.36554571101026,0.5137152125802207,22
2056,0.45129905306030893,0.43404074163458617,0.1406435382771426,0.3637717704925367,0.511325726841443,22
2057,0.4495225205825594,0.4321641452658341,0.14009916034975003,0.3620492066643518,0.5089638395050325,22
2058,0.44777915203748236,0.4303060699444722,0.13954160499138824,0.36044793130180586,0.5067717212128362,22
2059,0.4460981645204871,0.4283931010897315,0.13901074903950725,0.3589121808270294,0.5047320933995239,22
2060,0.44439241856212774,0.426367682761309,0.1383689093229318,0.35744339480187837,0.5027501294671154,22
2061,0.4426869964534959,0.4243449021876287,0.13769486933158795,0.35599835057924567,0.5009085585062226,22
2062,0.44100260693162646,0.4221709590481744,0.13690631372970083,0.35510752629768355,0.49913376320164815,22
2063,0.43929398369323797,0.41986207964123534,0.13606599243876574,0.355576200899447,0.4974947093957935,22
2064,0.4376150695846825,0.4175169201413733,0.13524961828407472,0.35556797835970283,0.4958383852497666,22
2065,0.43602165711980573,0.41515660530145704,0.13444153668546655,0.35556911882155334,0.49418206110373974,22
2066,0.43450757053978345,0.4127937160882034,0.1336881286918538,0.3555863927464424,0.4925257369577128,22
2067,0.4330022029581641,0.41043046401032235,0.13290488508640144,0.35561522392741257,0.49086941281168595,22
2068,0.4315067963317684,0.4080564650934354,0.13212193502284889,0.35570445126966366,0.48921308866565905,22
2069,0.43001542639560686,0.40564472605122714,0.1313223194195096,0.3558305435055137,0.48755676451963215,22
2070,0.4285206426960774,0.40330084899610225,0.1305088771933752,0.35602113628646903,0.4859647451728405,22
2071,0.42702138170454584,0.40099717261402656,0.1297105194963587,0.35633398522374465,0.48441465195153277,22
2072,0.425567181074498,0.3994978196404561,0.12890858799619612,0.35669222166726855,0.4831688372966526,22
2073,0.42408739157816977,0.3987213731167377,0.12803527502484058,0.357080417266033,0.48202470065673264,22
2074,0.4226108976429018,0.3979125916339573,0.12712059297520004,0.35729554076919245,0.48094447003538304,22
2075,0.42118702347739134,0.3971038101511769,0.12624278754038815,0.357225321099219,0.47997391230525954,22
2076,0.41975364809755505,0.39628280321566084,0.12539254782889278,0.3571158081358932,0.4791811699927579,22
2077,0.4183176318001251,0.3954617962801448,0.12452048316036873,0.35697804904037667,0.47840950573059904,22
2078,0.416843050281997,0.39467595798536265,0.12358102150134673,0.3549315884661657,0.47770807508045143,22
2079,0.415359706263351,0.3938510739202976,0.1226097428758866,0.352303416169778,0.47713217919974965,22
2080,0.41386942917764363,0.3929903426270865,0.12161397146683023,0.3496706913304757,0.4766874954511299,22
2081,0.4123382691755309,0.39220838293317234,0.12057142589525847,0.346990176058573,0.476299137052635,22
2082,0.41075802568001796,0.3912774417672156,0.11951586227399023,0.34430128227766277,0.4759020230325671,22
2083,0.4091513860667943,0.3903197821641019,0.11847328537387725,0.34163581505364676,0.47542135953237813,22
2084,0.40755548677389725,0.38938412003260153,0.1174431482799978,0.33876113332882174,0.4748807747145539,22
2085,0.4059593940538049,0.38841849908760984,0.11646256759911121,0.33581739731905863,0.47428224319113677,22
2086,0.40437626592875014,0.38744044440534364,0.11551004223220408,0.3329147412430394,0.47376626561961394,22
2087,0.40278073525903796,0.3853569056628904,0.11458479080480183,0.3297726600636828,0.473250288048091,22
2088,0.4011877336780632,0.3825998524446993,0.11367560074578238,0.32675342477507296,0.4727343104765682,22
2089,0.3995818354941786,0.37981164814461604,0.11278848936124777,0.3236898296142368,0.47222436454861844,22
2090,0.3979710444155572,0.3769981659179823,0.1119554226370834,0.3206192082350024,0.47171441862066865,22
2091,0.39637450236546806,0.3743054003561021,0.11113115540821443,0.3176981965225475,0.4712717790049452,22
